                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.518,                 4.8518,                 1.3684,                0.96305,                    0.8,                0.92682,                0.57239,                 1.4016,                 2.2554,                 1.1591,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.5783,                 3.2509,                 1.0473,                0.89376,                    0.9,                0.94382,                 0.5737,                 1.3795,                 3.1792,                 1.1314,               4.02e-05,               4.02e-05,               4.02e-05
                      3,                 1.4505,                  2.222,                0.95597,                0.98364,                    0.9,                0.97833,                0.55596,                 1.3411,                 3.3899,                 1.1142,                3.4e-05,                3.4e-05,                3.4e-05
